participant,feel,pick_flip,win_lose,role
1,7,1,1,1
2,7,1,1,1
3,7,1,1,1
4,7,1,1,1
5,7,1,1,1
6,7,1,1,2
7,7,1,1,1
8,7,1,1,1
9,7,1,1,2
10,7,1,1,1
11,7,1,1,2
12,7,1,1,1
13,7,1,1,1
14,7,1,1,2
15,7,1,1,1
16,7,1,1,1
17,7,1,1,2
18,7,1,1,1
19,7,1,1,1
20,7,1,1,1
21,7,1,1,1
22,7,1,1,1
23,7,1,1,3
24,7,1,1,2
25,7,1,1,2
26,7,1,1,1
27,7,1,1,2
28,7,1,1,1
29,7,1,1,1
30,7,1,1,1
31,7,1,1,2
32,7,1,1,1
33,7,1,1,1
34,7,1,1,1
35,7,1,1,1
36,7,1,1,1
37,7,1,1,1
38,7,1,1,2
39,7,1,1,1
40,7,1,1,2
41,7,1,1,1
42,7,1,1,1
43,7,1,1,1
44,7,1,1,1
45,7,1,1,1
46,7,1,1,1
47,7,1,1,1
48,7,1,1,2
49,7,1,1,2
50,7,1,1,1
51,7,1,1,2
52,7,1,1,1
53,7,1,1,1
54,7,1,1,2
55,7,1,1,1
56,7,1,1,2
57,7,1,1,1
58,7,1,1,1
59,7,1,1,2
60,7,1,1,1
61,7,1,1,2
62,7,1,1,2
63,7,1,1,1
64,7,1,1,1
65,7,1,1,1
66,7,1,1,2
67,7,1,1,1
68,7,1,1,1
69,7,1,1,1
70,7,1,1,1
71,7,1,1,2
72,7,1,1,2
73,7,1,1,2
74,7,1,1,2
75,7,1,1,2
76,7,1,1,1
77,7,1,1,1
78,7,1,1,1
79,7,1,1,1
80,7,1,1,1
81,7,1,1,2
82,7,1,1,1
83,6,1,1,1
84,6,1,1,2
85,6,1,1,1
86,6,1,1,1
87,6,1,1,2
88,6,1,1,1
89,6,1,1,2
90,6,1,1,2
91,6,1,1,1
92,6,1,1,2
93,6,1,1,2
94,6,1,1,4
95,6,1,1,1
96,6,1,1,2
97,6,1,1,2
98,6,1,1,2
99,5,1,1,1
100,5,1,1,2
101,5,1,1,1
102,5,1,1,2
103,5,1,1,1
104,2,1,1,1
105,7,1,2,2
106,7,1,2,2
107,7,1,2,2
108,7,1,2,2
109,6,1,2,1
110,5,1,2,2
111,5,1,2,1
112,4,1,2,2
113,4,1,2,2
114,4,1,2,2
115,4,1,2,1
116,4,1,2,2
117,4,1,2,1
118,4,1,2,2
119,4,1,2,1
120,4,1,2,1
121,4,1,2,2
122,4,1,2,2
123,4,1,2,2
124,3,1,2,2
125,3,1,2,2
126,3,1,2,2
127,3,1,2,1
128,3,1,2,2
129,3,1,2,1
130,3,1,2,1
131,3,1,2,2
132,3,1,2,1
133,3,1,2,1
134,3,1,2,2
135,3,1,2,1
136,3,1,2,1
137,3,1,2,2
138,3,1,2,1
139,2,1,2,1
140,2,1,2,2
141,2,1,2,1
142,2,1,2,2
143,2,1,2,2
144,2,1,2,1
145,2,1,2,2
146,2,1,2,1
147,2,1,2,1
148,2,1,2,1
149,2,1,2,2
150,2,1,2,1
151,2,1,2,2
152,2,1,2,1
153,2,1,2,1
154,2,1,2,1
155,2,1,2,1
156,2,1,2,1
157,2,1,2,1
158,2,1,2,1
159,1,1,2,1
160,1,1,2,2
161,1,1,2,2
162,1,1,2,1
163,1,1,2,1
164,1,1,2,1
165,1,1,2,1
166,1,1,2,1
167,1,1,2,1
168,1,1,2,4
169,1,1,2,2
170,1,1,2,2
171,1,1,2,1
172,1,1,2,1
173,1,1,2,1
174,1,1,2,2
175,1,1,2,2
176,1,1,2,1
177,1,1,2,1
178,1,1,2,1
179,1,1,2,2
180,1,1,2,1
181,1,1,2,2
182,1,1,2,1
183,1,1,2,2
184,1,1,2,2
185,1,1,2,1
186,1,1,2,2
187,1,1,2,1
188,1,1,2,1
189,1,1,2,1
190,1,1,2,2
191,1,1,2,1
192,1,1,2,1
193,1,1,2,1
194,1,1,2,1
195,1,1,2,2
196,1,1,2,2
197,1,1,2,2
198,1,1,2,1
199,1,1,2,2
200,1,1,2,1
201,1,1,2,1
202,1,1,2,1
203,1,1,2,2
204,1,1,2,1
205,7,2,1,2
206,6,2,1,1
207,4,2,1,1
208,6,2,1,2
209,5,2,1,1
210,7,2,1,1
211,6,2,1,2
212,5,2,1,2
213,5,2,1,1
214,7,2,1,2
215,6,2,1,1
216,6,2,1,2
217,6,2,1,2
218,6,2,1,2
219,6,2,1,2
220,6,2,1,1
221,6,2,1,2
222,5,2,1,1
223,5,2,1,2
224,6,2,1,1
225,7,2,1,1
226,5,2,1,1
227,7,2,1,1
228,5,2,1,1
229,6,2,1,1
230,7,2,1,2
231,6,2,1,2
232,5,2,1,1
233,7,2,1,1
234,6,2,1,2
235,7,2,1,1
236,7,2,1,1
237,6,2,1,1
238,7,2,1,1
239,7,2,1,2
240,7,2,1,1
241,6,2,1,1
242,7,2,1,1
243,7,2,1,1
244,7,2,1,1
245,7,2,1,2
246,6,2,1,1
247,6,2,1,1
248,7,2,1,1
249,5,2,1,1
250,7,2,1,2
251,4,2,1,1
252,6,2,1,1
253,4,2,1,2
254,6,2,1,2
255,7,2,1,1
256,6,2,1,2
257,4,2,1,1
258,7,2,1,1
259,7,2,1,1
260,7,2,1,2
261,7,2,1,1
262,6,2,1,2
263,7,2,1,2
264,6,2,1,1
265,7,2,1,1
266,5,2,1,1
267,7,2,1,1
268,7,2,1,1
269,7,2,1,1
270,6,2,1,1
271,7,2,1,1
272,6,2,1,2
273,6,2,1,1
274,6,2,1,1
275,7,2,1,1
276,6,2,1,2
277,7,2,1,2
278,7,2,1,1
279,5,2,1,1
280,7,2,1,2
281,5,2,1,2
282,6,2,1,1
283,7,2,1,1
284,7,2,1,2
285,5,2,1,1
286,6,2,1,2
287,5,2,1,2
288,5,2,1,1
289,7,2,1,2
290,5,2,1,1
291,5,2,1,1
292,6,2,1,1
293,5,2,1,1
294,7,2,1,1
295,7,2,1,1
296,7,2,1,2
297,5,2,1,2
298,7,2,1,1
299,7,2,1,1
300,7,2,1,2
301,7,2,1,1
302,5,2,1,1
303,7,2,1,1
304,5,2,1,1
305,7,2,1,2
306,7,2,2,2
307,7,2,2,1
308,6,2,2,2
309,6,2,2,2
310,5,2,2,1
311,5,2,2,2
312,4,2,2,1
313,4,2,2,1
314,4,2,2,1
315,4,2,2,2
316,4,2,2,1
317,4,2,2,1
318,4,2,2,1
319,4,2,2,1
320,4,2,2,2
321,4,2,2,2
322,4,2,2,1
323,4,2,2,2
324,4,2,2,2
325,3,2,2,1
326,3,2,2,1
327,3,2,2,2
328,3,2,2,2
329,3,2,2,1
330,3,2,2,1
331,3,2,2,1
332,3,2,2,1
333,2,2,2,2
334,2,2,2,1
335,2,2,2,2
336,2,2,2,1
337,2,2,2,1
338,2,2,2,1
339,2,2,2,1
340,2,2,2,1
341,2,2,2,1
342,2,2,2,2
343,2,2,2,2
344,2,2,2,2
345,2,2,2,1
346,2,2,2,1
347,2,2,2,2
348,2,2,2,2
349,2,2,2,2
350,2,2,2,1
351,1,2,2,1
352,1,2,2,1
353,1,2,2,2
354,1,2,2,1
355,1,2,2,2
356,1,2,2,2
357,1,2,2,1
358,1,2,2,2
359,1,2,2,1
360,1,2,2,2
361,1,2,2,2
362,1,2,2,2
363,1,2,2,1
364,1,2,2,2
365,1,2,2,2
366,1,2,2,2
367,1,2,2,1
368,1,2,2,2
369,1,2,2,2
370,1,2,2,1
371,1,2,2,2
372,1,2,2,1
373,1,2,2,1
374,1,2,2,1
375,1,2,2,1
376,1,2,2,1
377,1,2,2,1
378,1,2,2,2
379,1,2,2,2
380,1,2,2,1
381,1,2,2,1
382,1,2,2,1
383,1,2,2,1
384,1,2,2,2
385,1,2,2,1
386,1,2,2,1
387,1,2,2,2
388,1,2,2,1
389,1,2,2,2
390,1,2,2,1
391,1,2,2,1
392,1,2,2,1
393,1,2,2,2
394,1,2,2,1
